time,sensor.sensor_temperatura_1_humidity,sensor.sensor_temperatura_1_pressure,sensor.sensor_temperatura_1_temperature,sensor_puerta_1 Puerta,suma_ventanas_arriba,suma_ventanas_abajo,azimuth_mean,elevacion_sol,temperatura_exterior,porcentaje_nubes,temperatura_calefaccion_y,media_humedad,media_presion,media_temperatura,hora,part_of_day,mes,season,hora_sin,hora_cos,dia_1,dia_2,dia_3,dia_4,dia_5,dia_6
2024-12-10 21:00:00,46.3,1014.6,19.74,0.0,0.0,0.0,285.41,-53.48,12.5,100.0,21.7,46.42,1014.39,19.7,21,1,12,3,-0.5195839500354336,0.8544194045464886,True,False,False,False,False,False
2024-12-11 07:00:00,51.23,1013.77,19.48,0.0,0.0,0.0,122.93,2.68,7.7,93.0,19.6,50.96,1014.08,19.36,7,3,12,2,0.9422609221188205,-0.33487961217098616,False,True,False,False,False,False
2024-12-11 08:00:00,56.99,1015.33,21.06,0.0,0.0,0.0,131.9,10.43,7.8,49.0,19.6,56.3,1015.02,21.08,8,3,12,2,0.8169698930104421,-0.5766803221148671,False,True,False,False,False,False
2024-12-11 09:00:00,58.04,1015.4,21.16,0.0,0.0,0.0,144.64,18.67,7.0,48.0,20.5,56.93,1015.27,21.36,9,3,12,3,0.631087944326053,-0.7757112907044197,False,True,False,False,False,False
2024-12-11 10:00:00,52.73,1015.58,20.65,0.0,0.0,0.0,158.21,24.19,7.7,8.0,21.5,52.73,1015.58,20.86,10,3,12,3,0.3984010898462414,-0.917211301505453,False,True,False,False,False,False
2024-12-11 11:00:00,49.25,1015.55,20.53,0.0,0.0,0.0,173.61,27.08,8.8,100.0,21.5,48.83,1015.35,20.63,11,3,12,3,0.1361666490962471,-0.9906859460363306,False,True,False,False,False,False
2024-12-11 12:00:00,46.92,1014.58,20.51,0.0,0.0,0.0,189.19,26.8,9.2,93.0,21.4,46.6,1014.43,20.63,12,2,12,0,-0.1361666490962464,-0.9906859460363308,False,True,False,False,False,False
2024-12-11 13:00:00,42.42,1014.2,19.92,0.0,0.0,0.0,203.96,23.5,9.7,100.0,21.3,42.29,1013.94,19.73,13,2,12,3,-0.39840108984624156,-0.9172113015054529,False,True,False,False,False,False
2024-12-11 14:00:00,42.32,1013.35,19.4,0.0,0.0,0.0,217.28,17.62,9.6,100.0,21.6,42.57,1013.57,19.22,14,2,12,3,-0.6310879443260528,-0.7757112907044198,False,True,False,False,False,False
2024-12-11 15:00:00,45.09,1013.35,20.03,0.0,0.0,0.0,229.76,9.09,11.6,100.0,21.0,45.38,1013.64,19.91,15,2,12,3,-0.816969893010442,-0.5766803221148672,False,True,False,False,False,False
2024-12-11 16:00:00,43.32,1014.6,20.58,0.0,0.0,0.0,238.3,1.41,11.8,100.0,21.0,43.93,1014.37,20.41,16,2,12,3,-0.9422609221188204,-0.3348796121709864,False,True,False,False,False,False
