time,sensor.sensor_temperatura_1_humidity,sensor.sensor_temperatura_1_pressure,sensor.sensor_temperatura_1_temperature,sensor.sensor_temperatura_2_humidity,sensor.sensor_temperatura_2_pressure,sensor.sensor_temperatura_2_temperature,sensor.sensor_temperatura_3_humidity,sensor.sensor_temperatura_3_pressure,sensor.sensor_temperatura_3_temperature,sensor_puerta_1 Puerta,suma_ventanas_arriba,suma_ventanas_abajo,azimuth_mean,elevacion_sol,temperatura_exterior,porcentaje_nubes,temperatura_calefaccion_y,media_humedad,media_presion,media_temperatura
2024-12-10 21:00:00,46.3,1014.6,19.74,46.75,1014.2,19.59,46.06,1014.37,19.81,0.0,0.0,0.0,285.41,-53.48,12.5,100.0,21.7,46.37,1014.39,19.71
2024-12-10 22:00:00,45.78,1014.6,19.51,46.35,1014.43,19.2,45.6,1014.49,19.52,0.0,0.0,0.0,303.03,-64.02,12.0,100.0,21.1,45.91,1014.51,19.41
2024-12-10 23:00:00,45.45,1014.2,19.24,46.0,1014.4,19.05,45.26,1014.27,19.33,0.0,0.0,0.0,250.84,-72.16,11.4,100.0,20.8,45.57,1014.29,19.21
2024-12-11 00:00:00,45.3,1014.4,19.09,45.97,1014.05,18.82,45.17,1014.2,19.15,0.0,0.0,0.0,29.55,-71.2,11.2,39.0,20.5,45.48,1014.22,19.02
2024-12-11 01:00:00,45.25,1014.4,18.86,46.34,1013.95,18.49,45.33,1014.15,18.89,0.0,0.0,0.0,59.16,-63.06,10.6,32.0,20.3,45.64,1014.17,18.75
2024-12-11 02:00:00,45.42,1013.9,18.76,46.65,1013.8,18.3,45.57,1013.82,18.75,0.0,0.0,0.0,75.95,-52.39,10.0,62.0,20.2,45.88,1013.84,18.6
2024-12-11 03:00:00,45.47,1013.9,18.7,46.83,1013.7,18.17,45.68,1013.77,18.66,0.0,0.0,0.0,87.39,-40.97,10.3,100.0,20.0,45.99,1013.79,18.51
2024-12-11 04:00:00,45.54,1013.9,18.6,47.15,1013.7,17.99,45.88,1013.77,18.53,0.0,0.0,0.0,96.71,-29.43,10.5,66.0,19.9,46.19,1013.79,18.37
2024-12-11 05:00:00,45.66,1014.2,18.58,47.08,1013.9,18.1,45.91,1014.02,18.58,0.0,0.0,0.0,106.17,-16.99,9.5,66.0,19.8,46.22,1014.04,18.42
2024-12-11 06:00:00,45.96,1013.77,18.4,47.1,1014.0,17.99,46.07,1013.86,18.44,0.0,0.0,0.0,114.25,-6.93,8.0,100.0,19.7,46.38,1013.88,18.28
2024-12-11 07:00:00,51.23,1013.77,19.48,50.87,1014.4,19.14,50.62,1014.06,19.48,0.0,0.0,0.0,122.93,2.68,7.7,93.0,19.6,50.91,1014.08,19.37
2024-12-11 08:00:00,56.99,1015.33,21.06,55.78,1014.73,21.09,55.99,1015.01,21.13,0.0,0.0,0.0,131.9,10.43,7.8,49.0,19.6,56.25,1015.02,21.09
2024-12-11 09:00:00,58.04,1015.4,21.16,55.98,1015.15,21.58,56.62,1015.25,21.4,0.0,0.0,0.0,144.64,18.67,7.0,48.0,20.5,56.88,1015.27,21.38
2024-12-11 10:00:00,52.73,1015.58,20.65,52.9,1015.6,21.06,52.39,1015.57,20.92,0.0,0.0,0.0,158.21,24.19,7.7,8.0,21.5,52.67,1015.58,20.88
2024-12-11 11:00:00,49.25,1015.55,20.53,48.6,1015.17,20.71,48.48,1015.34,20.7,0.0,0.0,0.0,173.61,27.08,8.8,100.0,21.5,48.78,1015.35,20.65
2024-12-11 12:00:00,46.92,1014.58,20.51,46.49,1014.3,20.72,46.24,1014.41,20.7,0.0,0.0,0.0,189.19,26.8,9.2,93.0,21.4,46.55,1014.43,20.64
2024-12-11 13:00:00,42.42,1014.2,19.92,42.37,1013.7,19.47,41.9,1013.92,19.84,0.0,0.0,0.0,203.96,23.5,9.7,100.0,21.3,42.23,1013.94,19.74
2024-12-11 14:00:00,42.32,1013.35,19.4,43.04,1013.8,18.94,42.19,1013.55,19.35,0.0,0.0,0.0,217.28,17.62,9.6,100.0,21.6,42.52,1013.57,19.23
2024-12-11 15:00:00,45.09,1013.35,20.03,45.87,1013.95,19.72,45.01,1013.62,20.01,0.0,0.0,0.0,229.76,9.09,11.6,100.0,21.0,45.32,1013.64,19.92
2024-12-11 16:00:00,43.32,1014.6,20.58,44.76,1014.15,20.2,43.56,1014.35,20.49,0.0,0.0,0.0,238.3,1.41,11.8,100.0,21.0,43.88,1014.37,20.42
2024-12-11 17:00:00,43.5,1014.6,20.3,44.71,1014.43,19.93,43.63,1014.49,20.23,0.0,0.0,0.0,247.62,-9.25,11.1,100.0,21.3,43.95,1014.51,20.15
2024-12-11 18:00:00,44.92,1015.9,20.88,45.56,1014.83,20.49,44.77,1015.34,20.76,0.0,0.0,0.0,256.4,-20.42,11.1,87.0,21.4,45.08,1015.36,20.71
2024-12-11 19:00:00,48.43,1015.2,21.66,48.46,1014.85,21.31,48.0,1015.0,21.51,0.0,0.0,0.0,266.15,-33.2,10.2,100.0,21.6,48.3,1015.02,21.49
2024-12-11 20:00:00,47.62,1015.4,21.03,47.76,1015.2,20.9,47.24,1015.28,21.02,0.0,0.0,0.0,275.93,-44.75,9.5,97.0,21.7,47.54,1015.29,20.98
2024-12-11 21:00:00,46.06,1015.47,19.96,46.59,1015.32,19.6,45.86,1015.37,19.92,0.0,0.0,0.0,288.58,-56.03,8.4,98.0,22.1,46.17,1015.39,19.83
2024-12-11 22:00:00,45.26,1015.47,19.6,46.64,1015.45,18.76,45.48,1015.44,19.36,0.0,0.0,0.0,308.46,-66.19,7.5,100.0,21.6,45.79,1015.45,19.24
2024-12-11 23:00:00,44.96,1015.4,19.27,46.08,1015.15,18.56,45.05,1015.25,19.11,0.0,0.0,0.0,224.31,-72.7,7.8,100.0,21.1,45.36,1015.27,18.98
