time,sensor_puerta_1 Puerta,suma_ventanas_arriba,suma_ventanas_abajo,azimuth_mean,elevation_mean,temperature_mean,cloud_coverage_mean,temperature ℃,media_humedad,media_presion,media_temperatura
2024-12-10 21:00:00,0.0,0.0,0.0,285.41,-53.48,12.5,100.0,21.7,46.42,1014.39,19.7
2024-12-11 07:00:00,0.0,0.0,0.0,122.93,2.68,7.7,93.0,19.6,50.96,1014.08,19.36
2024-12-11 08:00:00,0.0,0.0,0.0,131.9,10.43,7.8,49.0,19.6,56.3,1015.02,21.08
2024-12-11 09:00:00,0.0,0.0,0.0,144.64,18.67,7.0,48.0,20.5,56.93,1015.27,21.36
2024-12-11 10:00:00,0.0,0.0,0.0,158.21,24.19,7.7,8.0,21.5,52.73,1015.58,20.86
2024-12-11 11:00:00,0.0,0.0,0.0,173.61,27.08,8.8,100.0,21.5,48.83,1015.35,20.63
2024-12-11 12:00:00,0.0,0.0,0.0,189.19,26.8,9.2,93.0,21.4,46.6,1014.43,20.63
2024-12-11 13:00:00,0.0,0.0,0.0,203.96,23.5,9.7,100.0,21.3,42.29,1013.94,19.73
2024-12-11 14:00:00,0.0,0.0,0.0,217.28,17.62,9.6,100.0,21.6,42.57,1013.57,19.22
2024-12-11 15:00:00,0.0,0.0,0.0,229.76,9.09,11.6,100.0,21.0,45.38,1013.64,19.91
2024-12-11 16:00:00,0.0,0.0,0.0,238.3,1.41,11.8,100.0,21.0,43.93,1014.37,20.41
2024-12-11 17:00:00,0.0,0.0,0.0,247.62,-9.25,11.1,100.0,21.3,44.0,1014.51,20.14
2024-12-11 18:00:00,0.0,0.0,0.0,256.4,-20.42,11.1,87.0,21.4,45.14,1015.36,20.7
2024-12-11 19:00:00,0.0,0.0,0.0,266.15,-33.2,10.2,100.0,21.6,48.35,1015.02,21.48
2024-12-11 20:00:00,0.0,0.0,0.0,275.93,-44.75,9.5,97.0,21.7,47.59,1015.29,20.97
2024-12-11 21:00:00,0.0,0.0,0.0,288.58,-56.03,8.4,98.0,22.1,46.22,1015.39,19.81
2024-12-12 07:00:00,0.0,0.0,0.0,123.03,2.67,8.5,44.0,19.7,47.21,1015.71,18.81
2024-12-12 08:00:00,0.0,0.0,0.0,132.02,10.43,7.9,49.0,19.6,49.14,1015.97,20.3
2024-12-12 09:00:00,0.0,0.0,0.0,144.76,18.65,7.7,15.0,20.9,43.79,1016.08,19.01
2024-12-12 10:00:00,0.0,0.0,0.0,158.33,24.15,8.0,45.0,21.4,44.88,1015.92,19.2
2024-12-12 11:00:00,0.0,0.0,0.0,173.71,27.01,9.9,36.0,21.5,47.61,1015.54,20.42
2024-12-12 12:00:00,0.0,0.0,0.0,189.18,26.73,11.5,41.0,21.6,50.17,1014.89,21.15
2024-12-12 13:00:00,0.0,0.0,0.0,203.94,23.43,12.5,58.0,21.8,51.34,1014.59,21.1
2024-12-12 14:00:00,0.0,0.0,0.0,217.24,17.56,13.0,89.0,21.8,49.01,1014.48,20.2
2024-12-12 15:00:00,0.0,0.0,0.0,229.66,9.08,12.5,63.0,21.1,49.24,1014.3,20.15
