time,azimuth_mean,elevation_mean
2024-12-10 18:30:00,258.46,-23.01
2024-12-10 19:00:00,261.33,-26.81
2024-12-10 19:30:00,267.16,-34.38
2024-12-10 20:00:00,271.91499999999996,-40.165000000000006
2024-12-10 20:30:00,277.08,-45.93
2024-12-10 21:00:00,283.07,-51.625
2024-12-10 21:30:00,290.08,-57.18
2024-12-10 22:00:00,299.145,-62.425
2024-12-10 22:30:00,310.81,-67.21
2024-12-10 23:00:00,327.345,-70.945
2024-12-10 23:30:00,174.34,-73.38
2024-12-11 00:00:00,16.09,-72.98
2024-12-11 00:30:00,36.28,-70.305
2024-12-11 01:00:00,51.83,-66.33
2024-12-11 01:30:00,62.83,-61.425
2024-12-11 02:00:00,71.45,-56.12
2024-12-11 02:30:00,78.19999999999999,-50.525
2024-12-11 03:00:00,84.01,-44.82
2024-12-11 03:30:00,89.07499999999999,-39.04
2024-12-11 04:00:00,93.77,-33.26
2024-12-11 04:30:00,98.18,-27.51
2024-12-11 05:00:00,102.48,-21.81
2024-12-11 05:30:00,107.0925,-15.782499999999999
2024-12-11 06:00:00,111.21999999999998,-10.56
2024-12-11 06:30:00,115.77166666666666,-5.11
2024-12-11 07:00:00,120.42,0.27416666666666667
2024-12-11 07:30:00,124.93866666666666,4.596666666666667
2024-12-11 08:00:00,129.85923076923078,8.876923076923077
2024-12-11 08:30:00,135.70428571428573,13.324285714285713
2024-12-11 09:00:00,141.6625,17.12
2024-12-11 09:30:00,148.04,20.445714285714285
2024-12-11 10:00:00,154.85,23.1975
2024-12-11 10:30:00,162.04285714285714,25.325714285714287
2024-12-11 11:00:00,169.55125,26.73625
2024-12-11 11:30:00,177.67,27.41375
2024-12-11 12:00:00,185.10714285714286,27.28142857142857
2024-12-11 12:30:00,192.76375000000002,26.37375
2024-12-11 13:00:00,200.19,24.744285714285716
2024-12-11 13:30:00,207.2675,22.41125
2024-12-11 14:00:00,213.94571428571427,19.475714285714282
2024-12-11 14:30:00,220.19,15.9925
2024-12-11 15:00:00,226.35875000000001,11.805
2024-12-11 15:30:00,231.57333333333332,7.6466666666666665
2024-12-11 16:00:00,236.65466666666669,3.0953333333333335
2024-12-11 16:30:00,241.04777777777775,-1.3977777777777778
2024-12-11 17:00:00,245.38600000000002,-6.514
2024-12-11 17:30:00,250.415,-12.6625
2024-12-11 18:00:00,253.95499999999998,-17.2
2024-12-11 18:30:00,258.83500000000004,-23.64
2024-12-11 19:00:00,263.15,-29.35
2024-12-11 19:30:00,267.645,-35.12
2024-12-11 20:00:00,272.4,-40.91
2024-12-11 20:30:00,277.7,-46.665
2024-12-11 21:00:00,283.69,-52.36
2024-12-11 21:30:00,291.03,-57.870000000000005
2024-12-11 22:00:00,300.11,-63.11
2024-12-11 22:30:00,312.63,-67.735
2024-12-11 23:00:00,329.25,-71.47
2024-12-11 23:30:00,171.84,-73.31
2024-12-12 00:00:00,16.15,-73.05
2024-12-12 00:30:00,36.39,-70.37
2024-12-12 01:00:00,51.96,-66.39
2024-12-12 01:30:00,62.95,-61.480000000000004
2024-12-12 02:00:00,71.56,-56.16
2024-12-12 02:30:00,78.30000000000001,-50.57
2024-12-12 03:00:00,84.1,-44.86
2024-12-12 03:30:00,89.155,-39.08
2024-12-12 04:00:00,93.84,-33.3
2024-12-12 04:30:00,98.255,-27.55
2024-12-12 05:00:00,102.55,-21.85
2024-12-12 05:30:00,106.61333333333334,-16.52
2024-12-12 06:00:00,110.7125,-11.3125
2024-12-12 06:30:00,115.86666666666667,-5.111666666666667
2024-12-12 07:00:00,120.51916666666666,0.27166666666666667
2024-12-12 07:30:00,125.03999999999999,4.5906666666666665
2024-12-12 08:00:00,129.96461538461537,8.868461538461538
2024-12-12 08:30:00,135.8242857142857,13.317142857142857
2024-12-12 09:00:00,141.78625,17.103749999999998
2024-12-12 09:30:00,148.1614285714286,20.419999999999998
2024-12-12 10:00:00,154.9725,23.161250000000003
2024-12-12 10:30:00,162.16142857142856,25.27857142857143
2024-12-12 11:00:00,169.66875,26.675
2024-12-12 11:30:00,177.75,27.345
2024-12-12 12:00:00,185.10285714285715,27.21
2024-12-12 12:30:00,192.75,26.302500000000002
2024-12-12 13:00:00,200.16714285714286,24.67571428571429
2024-12-12 13:30:00,207.23625,22.34375
2024-12-12 14:00:00,213.91,19.412857142857142
2024-12-12 14:30:00,220.145,15.932500000000001
2024-12-12 15:00:00,226.3025,11.75375
2024-12-12 15:30:00,231.45733333333334,7.650666666666667
2024-12-12 16:00:00,236.54,3.1053333333333333
2024-12-12 16:30:00,240.94444444444446,-1.3944444444444446
2024-12-12 17:00:00,245.288,-6.514
2024-12-12 17:30:00,250.32,-12.66
2024-12-12 18:00:00,253.865,-17.2
2024-12-12 18:30:00,258.735,-23.634999999999998
2024-12-12 19:00:00,263.05,-29.35
2024-12-12 19:30:00,267.53999999999996,-35.114999999999995
2024-12-12 20:00:00,272.28,-40.9
2024-12-12 20:30:00,277.57,-46.66
2024-12-12 21:00:00,283.54,-52.35
2024-12-12 21:30:00,290.865,-57.870000000000005
2024-12-12 22:00:00,299.91,-63.12
2024-12-12 22:30:00,312.405,-67.755
2024-12-12 23:00:00,329.0,-71.51
2024-12-12 23:30:00,171.73,-73.375
2024-12-13 00:00:00,16.22,-73.12
2024-12-13 00:30:00,36.505,-70.43
2024-12-13 01:00:00,52.08,-66.44
2024-12-13 01:30:00,63.06,-61.519999999999996
2024-12-13 02:00:00,71.66,-56.2
2024-12-13 02:30:00,78.39,-50.6
2024-12-13 03:00:00,84.18,-44.89
2024-12-13 03:30:00,89.23,-39.114999999999995
2024-12-13 04:00:00,93.91,-33.33
2024-12-13 04:30:00,98.315,-27.585
2024-12-13 05:00:00,102.61,-21.89
2024-12-13 05:30:00,106.7,-16.52
2024-12-13 06:00:00,110.8,-11.3125
2024-12-13 06:30:00,115.95333333333333,-5.113333333333333
2024-12-13 07:00:00,120.60916666666667,0.26916666666666667
2024-12-13 07:30:00,125.13066666666667,4.586666666666667
2024-12-13 08:00:00,129.82333333333332,8.6725
2024-12-13 08:30:00,135.555,13.03625
2024-12-13 09:00:00,141.4757142857143,16.85571428571429
2024-12-13 09:30:00,147.83625,20.19
2024-12-13 10:00:00,154.60857142857142,22.97142857142857
2024-12-13 10:30:00,161.77625,25.11
2024-12-13 11:00:00,169.25571428571428,26.562857142857144
2024-12-13 11:30:00,177.31888888888886,27.256666666666668
2024-12-13 12:00:00,185.0957142857143,27.147142857142857
2024-12-13 12:30:00,192.735,26.2425
2024-12-13 13:00:00,200.1457142857143,24.61285714285714
2024-12-13 13:30:00,207.2075,22.285
2024-12-13 14:00:00,213.87857142857143,19.357142857142858
2024-12-13 14:30:00,220.11125,15.87875
2024-12-13 15:00:00,226.25625,11.71125
2024-12-13 15:30:00,231.35533333333333,7.654
2024-12-13 16:00:00,236.44,3.1133333333333337
2024-12-13 16:30:00,240.8511111111111,-1.3888888888888888
2024-12-13 17:00:00,245.202,-6.51
2024-12-13 17:30:00,250.2375,-12.6625
2024-12-13 18:00:00,253.77499999999998,-17.2
2024-12-13 18:30:00,258.655,-23.634999999999998
2024-12-13 19:00:00,262.96,-29.34
2024-12-13 19:30:00,267.44000000000005,-35.11
2024-12-13 20:00:00,272.18,-40.9
2024-12-13 20:30:00,277.46500000000003,-46.66
2024-12-13 21:00:00,283.42,-52.35
2024-12-13 21:30:00,290.725,-57.875
2024-12-13 22:00:00,299.74,-63.13
2024-12-13 22:30:00,312.21500000000003,-67.78
2024-12-13 23:00:00,328.79,-71.54
2024-12-13 23:30:00,171.625,-73.43
2024-12-14 00:00:00,16.26,-73.18
2024-12-14 00:30:00,36.585,-70.47999999999999
2024-12-14 01:00:00,52.18,-66.49
2024-12-14 01:30:00,63.155,-61.56
2024-12-14 02:00:00,71.75,-56.24
2024-12-14 02:30:00,78.47,-50.64
2024-12-14 03:00:00,84.25,-44.93
2024-12-14 03:30:00,89.3,-39.15
2024-12-14 04:00:00,93.97,-33.37
2024-12-14 04:30:00,98.37,-27.62
2024-12-14 05:00:00,102.66,-21.93
2024-12-14 05:30:00,106.78000000000002,-16.52
2024-12-14 06:00:00,110.875,-11.315
2024-12-14 06:30:00,116.03166666666668,-5.116666666666666
2024-12-14 07:00:00,120.52,0.09818181818181816
2024-12-14 07:30:00,124.878,4.276
2024-12-14 08:00:00,129.7276923076923,8.515384615384615
2024-12-14 08:30:00,135.65375,13.03375
2024-12-14 09:00:00,141.57571428571427,16.845714285714287
2024-12-14 09:30:00,147.935,20.16875
2024-12-14 10:00:00,154.70428571428573,22.944285714285712
2024-12-14 10:30:00,161.87375,25.0725
2024-12-14 11:00:00,169.35,26.51571428571429
2024-12-14 11:30:00,176.94,27.1925
2024-12-14 12:00:00,184.57625,27.11375
2024-12-14 12:30:00,192.2242857142857,26.274285714285718
2024-12-14 13:00:00,199.64,24.68
2024-12-14 13:30:00,206.73142857142855,22.412857142857142
2024-12-14 14:00:00,213.415,19.5125
2024-12-14 14:30:00,219.68142857142857,16.08142857142857
2024-12-14 15:00:00,225.84333333333333,11.936666666666667
2024-12-14 15:30:00,231.26466666666664,7.658
2024-12-14 16:00:00,236.35,3.122666666666667
2024-12-14 16:30:00,240.7711111111111,-1.3855555555555554
2024-12-14 17:00:00,245.12600000000003,-6.508
2024-12-14 17:30:00,250.1625,-12.66
2024-12-14 18:00:00,253.70499999999998,-17.195
2024-12-14 18:30:00,258.58000000000004,-23.63
2024-12-14 19:00:00,262.88,-29.34
