time,azimuth,elevation
2024-12-10 18:41:04.5107+00,258.46,-23.01
2024-12-10 19:01:04.511733+00,261.33,-26.81
2024-12-10 19:40:32.735837+00,267.16,-34.38
2024-12-10 20:00:32.737557+00,270.27,-38.24
2024-12-10 20:20:32.738546+00,273.56,-42.09
2024-12-10 20:40:32.739933+00,277.08,-45.93
2024-12-10 21:00:32.741268+00,280.93,-49.75
2024-12-10 21:20:32.741623+00,285.21,-53.5
2024-12-10 21:40:32.742827+00,290.08,-57.18
2024-12-10 22:00:32.744886+00,295.76,-60.74
2024-12-10 22:20:32.745527+00,302.53,-64.11
2024-12-10 22:40:32.746223+00,310.81,-67.21
2024-12-10 23:00:32.74695+00,321.05,-69.9
2024-12-10 23:20:32.747865+00,333.64,-71.99
2024-12-10 23:40:32.749343+00,348.49,-73.24
2024-12-10 23:55:06.005098+00,0.19,-73.52
2024-12-11 00:15:06.006642+00,16.09,-72.98
2024-12-11 00:35:06.008553+00,30.34,-71.45
2024-12-11 00:55:06.00941+00,42.22,-69.16
2024-12-11 01:15:06.010235+00,51.83,-66.33
2024-12-11 01:35:06.012058+00,59.62,-63.14
2024-12-11 01:55:06.013338+00,66.04,-59.71
2024-12-11 02:15:06.01598+00,71.45,-56.12
2024-12-11 02:35:06.017531+00,76.13,-52.41
2024-12-11 02:55:06.019135+00,80.27,-48.64
2024-12-11 03:15:06.020965+00,84.01,-44.82
2024-12-11 03:35:06.022425+00,87.46,-40.97
2024-12-11 03:55:06.023402+00,90.69,-37.11
2024-12-11 04:15:06.024397+00,93.77,-33.26
2024-12-11 04:35:06.025166+00,96.73,-29.42
2024-12-11 04:55:06.027168+00,99.63,-25.6
2024-12-11 05:15:06.028531+00,102.48,-21.81
2024-12-11 05:35:26.661963+00,105.38,-18.0
2024-12-11 05:43:26.66544+00,106.52,-16.52
2024-12-11 05:51:26.667389+00,107.66,-15.04
2024-12-11 05:59:26.669298+00,108.81,-13.57
2024-12-11 06:08:03.932756+00,110.05,-12.0
2024-12-11 06:16:03.935502+00,111.22,-10.56
2024-12-11 06:24:03.936637+00,112.39,-9.12
2024-12-11 06:32:03.938158+00,113.57,-7.69
2024-12-11 06:41:36.149182+00,115.0,-6.0
2024-12-11 06:45:36.151325+00,115.6,-5.3
2024-12-11 06:49:36.152819+00,116.21,-4.59
2024-12-11 06:53:36.154475+00,116.82,-3.89
2024-12-11 06:57:36.156196+00,117.43,-3.19
2024-12-11 07:01:36.158035+00,118.05,-2.48
2024-12-11 07:05:36.159304+00,118.67,-1.75
2024-12-11 07:09:36.161406+00,119.3,-0.99
2024-12-11 07:12:21.496512+00,119.73,-0.37
2024-12-11 07:14:21.498373+00,120.04,0.1
2024-12-11 07:16:21.499633+00,120.36,0.38
2024-12-11 07:18:21.500962+00,120.68,0.66
2024-12-11 07:20:21.501489+00,121.0,0.95
2024-12-11 07:22:21.502786+00,121.32,1.25
2024-12-11 07:24:21.504353+00,121.64,1.54
2024-12-11 07:26:21.506762+00,121.96,1.85
2024-12-11 07:28:21.508924+00,122.29,2.15
2024-12-11 07:30:21.510033+00,122.61,2.45
2024-12-11 07:32:21.511921+00,122.94,2.76
2024-12-11 07:34:21.513171+00,123.27,3.06
2024-12-11 07:36:21.514563+00,123.6,3.37
2024-12-11 07:38:21.516523+00,123.93,3.68
2024-12-11 07:40:21.517585+00,124.26,3.99
2024-12-11 07:42:21.519159+00,124.59,4.29
2024-12-11 07:44:21.520764+00,124.92,4.6
2024-12-11 07:46:21.522416+00,125.26,4.91
2024-12-11 07:48:21.523733+00,125.6,5.21
2024-12-11 07:50:21.524703+00,125.94,5.52
2024-12-11 07:52:21.526226+00,126.28,5.82
2024-12-11 07:54:21.528129+00,126.62,6.13
2024-12-11 07:56:21.52864+00,126.96,6.43
