time,entity_id,state,state_class,device_class,friendly_name,unit_of_measurement
2024-12-10 18:21:06.442741+00:00,sensor.sensor_temperatura_1_battery,unavailable,measurement,battery,sensor_temperatura_1 Batería,%
2024-12-10 18:21:06.447989+00:00,sensor.sensor_temperatura_1_temperature,unavailable,measurement,temperature,sensor_temperatura_1 Temperatura,°C
2024-12-10 18:21:06.452956+00:00,sensor.sensor_temperatura_1_humidity,unavailable,measurement,humidity,sensor_temperatura_1 Humedad,%
2024-12-10 18:21:06.457839+00:00,sensor.sensor_temperatura_1_pressure,unavailable,measurement,atmospheric_pressure,sensor_temperatura_1 Presión atmosférica,inHg
2024-12-10 18:21:45.219521+00:00,sensor.sensor_temperatura_1_pressure,29.93,measurement,atmospheric_pressure,sensor_temperatura_1 Presión atmosférica,inHg
2024-12-10 18:21:45.220298+00:00,sensor.sensor_temperatura_1_humidity,45.34,measurement,humidity,sensor_temperatura_1 Humedad,%
2024-12-10 18:21:45.220469+00:00,sensor.sensor_temperatura_1_temperature,21.04,measurement,temperature,sensor_temperatura_1 Temperatura,°C
2024-12-10 18:21:45.220622+00:00,sensor.sensor_temperatura_1_battery,77,measurement,battery,sensor_temperatura_1 Batería,%
2024-12-10 18:27:55.644839+00:00,sensor.sensor_temperatura_1_humidity,46.57,measurement,humidity,sensor_temperatura_1 Humedad,%
2024-12-10 18:27:55.648282+00:00,sensor.sensor_temperatura_1_temperature,21.17,measurement,temperature,sensor_temperatura_1 Temperatura,°C
2024-12-10 19:04:13.404885+00:00,sensor.sensor_temperatura_22_temperature,unavailable,measurement,temperature,sensor_temperatura_22 Temperatura,°C
2024-12-10 19:04:21.378936+00:00,sensor.sensor_temperatura_2_battery,unavailable,measurement,battery,sensor_temperatura_2 Batería,%
2024-12-10 19:04:21.407604+00:00,sensor.sensor_temperatura_2_pressure,unavailable,measurement,atmospheric_pressure,sensor_temperatura_2 Presión atmosférica,hPa
2024-12-10 19:15:27.422905+00:00,sensor.sensor_temperatura_1_humidity,48.02,measurement,humidity,sensor_temperatura_1 Humedad,%
2024-12-12 07:16:23.426338+00:00,sensor.sensor_temperatura_2_pressure,unavailable,measurement,atmospheric_pressure,sensor_temperatura_2 Presión atmosférica,hPa
