time,sensor.sensor_temperatura_3_humidity,sensor.sensor_temperatura_3_pressure,sensor.sensor_temperatura_3_temperature
2024-12-10 21:00:00,46.22,1014.38,19.78
2024-12-11 07:00:00,50.78,1014.06,19.45
2024-12-11 08:00:00,56.14,1015.01,21.08
2024-12-11 09:00:00,56.77,1015.26,21.35
2024-12-11 10:00:00,52.55,1015.57,20.88
2024-12-11 11:00:00,48.64,1015.34,20.66
2024-12-11 12:00:00,46.41,1014.42,20.65
2024-12-11 13:00:00,42.07,1013.93,19.8
2024-12-11 14:00:00,42.36,1013.55,19.32
2024-12-11 15:00:00,45.17,1013.63,19.97
2024-12-11 16:00:00,43.72,1014.35,20.45
2024-12-11 17:00:00,43.79,1014.49,20.19
2024-12-11 18:00:00,44.93,1015.35,20.72
2024-12-11 19:00:00,48.16,1015.01,21.46
2024-12-11 20:00:00,47.4,1015.28,20.98
2024-12-11 21:00:00,46.02,1015.38,19.88
2024-12-12 07:00:00,47.01,1015.7,18.93
2024-12-12 08:00:00,48.95,1015.96,20.34
2024-12-12 09:00:00,43.58,1016.07,19.12
2024-12-12 10:00:00,44.67,1015.91,19.3
2024-12-12 11:00:00,47.41,1015.53,20.46
2024-12-12 12:00:00,49.99,1014.88,21.15
2024-12-12 13:00:00,51.16,1014.58,21.1
2024-12-12 14:00:00,48.82,1014.46,20.25
2024-12-12 15:00:00,49.05,1014.29,20.2
2024-12-12 16:00:00,48.65,1014.34,20.34
2024-12-12 17:00:00,50.85,1015.02,20.52
2024-12-12 18:00:00,50.25,1015.2,20.92
2024-12-12 19:00:00,49.07,1015.32,21.08
2024-12-12 20:00:00,49.31,1015.34,20.4
2024-12-12 21:00:00,49.58,1015.87,19.82
2024-12-13 07:00:00,49.55,1017.33,19.1
2024-12-13 08:00:00,49.08,1018.4,20.23
2024-12-13 09:00:00,49.18,1018.69,20.42
2024-12-13 10:00:00,48.23,1018.72,20.63
2024-12-13 11:00:00,49.77,1018.33,21.07
2024-12-13 12:00:00,50.76,1017.92,21.09
2024-12-13 13:00:00,50.45,1017.82,20.41
2024-12-13 14:00:00,50.63,1017.77,19.93
2024-12-13 15:00:00,50.65,1017.8,19.73
2024-12-13 16:00:00,50.97,1018.51,19.51
2024-12-13 17:00:00,51.43,1019.15,19.39
2024-12-13 18:00:00,51.88,1019.47,19.29
2024-12-13 19:00:00,52.09,1019.87,19.25
2024-12-13 20:00:00,52.07,1021.21,19.19
2024-12-13 21:00:00,52.14,1021.25,18.98
2024-12-14 07:00:00,46.49,1023.92,17.66
2024-12-14 08:00:00,46.0,1024.56,17.34
2024-12-14 09:00:00,45.17,1025.23,17.17
2024-12-14 10:00:00,44.46,1025.2,17.17
2024-12-14 11:00:00,43.25,1024.09,17.19
2024-12-14 12:00:00,42.58,1023.68,17.35
2024-12-14 13:00:00,42.31,1023.33,17.45
2024-12-14 14:00:00,41.85,1023.33,17.47
2024-12-14 15:00:00,41.71,1023.38,17.54
2024-12-14 16:00:00,42.09,1023.47,17.56
2024-12-14 17:00:00,42.56,1024.37,17.56
2024-12-14 18:00:00,43.0,1025.14,17.59
2024-12-14 19:00:00,43.46,1025.58,17.53
2024-12-14 20:00:00,43.74,1026.04,17.41
2024-12-14 21:00:00,43.7,1026.54,17.19
2024-12-15 07:00:00,41.09,1027.72,16.25
2024-12-15 08:00:00,41.36,1028.32,16.21
2024-12-15 09:00:00,41.59,1029.16,16.3
2024-12-15 10:00:00,41.79,1029.51,16.26
2024-12-15 11:00:00,41.64,1028.73,16.32
2024-12-15 12:00:00,41.06,1028.39,16.37
2024-12-15 13:00:00,41.21,1028.39,16.42
2024-12-15 14:00:00,41.63,1028.27,16.48
2024-12-15 15:00:00,42.13,1028.77,16.53
2024-12-15 16:00:00,42.46,1029.15,16.57
2024-12-15 17:00:00,42.77,1029.96,16.58
2024-12-15 18:00:00,43.21,1030.9,16.56
2024-12-15 19:00:00,43.56,1031.42,16.55
2024-12-15 20:00:00,43.94,1031.86,16.56
2024-12-15 21:00:00,44.23,1032.44,16.54
2024-12-16 07:00:00,45.25,1035.47,17.32
2024-12-16 08:00:00,47.22,1035.69,18.51
2024-12-16 09:00:00,50.45,1036.11,18.95
2024-12-16 10:00:00,50.8,1035.59,19.07
2024-12-16 11:00:00,50.47,1034.72,19.55
2024-12-16 12:00:00,51.4,1033.63,18.78
2024-12-16 13:00:00,52.46,1032.65,18.2
2024-12-16 14:00:00,51.51,1032.35,18.0
2024-12-16 15:00:00,52.07,1032.16,19.02
2024-12-16 16:00:00,50.59,1032.38,19.62
2024-12-16 17:00:00,50.62,1032.45,19.89
2024-12-16 18:00:00,51.22,1032.68,20.51
2024-12-16 19:00:00,54.72,1032.75,20.41
2024-12-16 20:00:00,55.18,1032.78,19.5
2024-12-16 21:00:00,54.5,1032.78,18.57
2024-12-17 07:00:00,48.6,1030.14,18.08
2024-12-17 08:00:00,53.16,1030.14,19.54
2024-12-17 09:00:00,52.84,1029.75,19.79
2024-12-17 10:00:00,49.56,1029.39,19.16
2024-12-17 11:00:00,51.03,1028.6,19.72
2024-12-17 12:00:00,49.99,1027.06,19.5
2024-12-17 13:00:00,49.39,1026.5,18.58
2024-12-17 14:00:00,50.38,1026.09,18.55
2024-12-17 15:00:00,49.39,1025.9,19.1
2024-12-17 16:00:00,51.26,1025.79,19.98
2024-12-17 17:00:00,51.02,1025.91,20.22
2024-12-17 18:00:00,49.9,1026.04,20.82
2024-12-17 19:00:00,48.01,1026.28,21.13
2024-12-17 20:00:00,48.15,1026.21,20.26
2024-12-17 21:00:00,49.89,1026.21,19.09
2024-12-18 07:00:00,48.63,1025.04,18.52
2024-12-18 08:00:00,52.94,1025.03,19.85
2024-12-18 09:00:00,54.13,1024.62,20.39
2024-12-18 10:00:00,51.47,1023.95,20.61
2024-12-18 11:00:00,53.0,1023.1,21.25
2024-12-18 12:00:00,48.28,1022.34,21.2
2024-12-18 13:00:00,41.57,1021.47,20.26
2024-12-18 14:00:00,39.74,1021.13,19.8
2024-12-18 15:00:00,47.05,1020.94,20.31
2024-12-18 16:00:00,52.23,1021.1,20.58
2024-12-18 17:00:00,53.24,1021.23,20.57
2024-12-18 18:00:00,52.26,1021.67,20.73
2024-12-18 19:00:00,50.91,1021.56,20.66
2024-12-18 20:00:00,50.64,1021.25,19.95
2024-12-18 21:00:00,50.29,1021.05,19.46
2024-12-19 07:00:00,38.06,1017.15,19.48
2024-12-19 08:00:00,38.25,1017.29,19.8
2024-12-19 09:00:00,41.08,1017.57,20.37
2024-12-19 10:00:00,43.23,1017.05,20.47
2024-12-19 11:00:00,44.02,1015.54,20.59
2024-12-19 12:00:00,43.27,1014.51,20.22
2024-12-19 13:00:00,44.88,1013.75,19.99
2024-12-19 14:00:00,45.02,1014.59,19.94
2024-12-19 15:00:00,43.78,1014.45,20.47
2024-12-19 16:00:00,43.37,1014.61,21.19
2024-12-19 17:00:00,42.61,1015.15,21.46
2024-12-19 18:00:00,46.39,1016.01,21.47
2024-12-19 19:00:00,48.69,1017.02,21.5
2024-12-19 20:00:00,49.19,1017.94,20.99
2024-12-19 21:00:00,47.64,1019.08,20.34
2024-12-20 07:00:00,37.1,1022.02,19.16
2024-12-20 08:00:00,37.41,1022.45,19.69
2024-12-20 09:00:00,36.82,1022.67,20.78
2024-12-20 10:00:00,35.88,1022.38,19.9
2024-12-20 11:00:00,42.95,1021.78,20.78
2024-12-20 12:00:00,40.73,1021.12,20.6
2024-12-20 13:00:00,39.36,1020.4,20.22
2024-12-20 14:00:00,39.46,1020.4,19.77
2024-12-20 15:00:00,39.34,1020.55,19.65
2024-12-20 16:00:00,38.88,1021.28,19.61
2024-12-20 17:00:00,38.48,1021.42,19.69
2024-12-20 18:00:00,38.31,1022.21,19.73
2024-12-20 19:00:00,38.41,1022.7,19.55
2024-12-20 20:00:00,38.53,1023.23,19.38
2024-12-20 21:00:00,38.75,1023.47,19.18
2024-12-21 07:00:00,37.85,1025.53,18.05
2024-12-21 08:00:00,37.84,1026.1,17.96
2024-12-21 09:00:00,38.01,1026.59,17.78
2024-12-21 10:00:00,38.02,1026.45,17.71
2024-12-21 11:00:00,38.01,1025.67,17.76
2024-12-21 12:00:00,38.0,1025.11,17.77
2024-12-21 13:00:00,38.02,1025.06,17.8
2024-12-21 14:00:00,38.03,1024.53,17.87
2024-12-21 15:00:00,38.26,1024.41,17.84
2024-12-21 16:00:00,38.49,1024.61,17.84
2024-12-21 17:00:00,38.71,1025.27,17.83
2024-12-21 18:00:00,38.87,1025.36,17.81
2024-12-21 19:00:00,39.36,1025.41,17.74
2024-12-21 20:00:00,39.9,1025.21,17.53
2024-12-21 21:00:00,40.12,1025.38,17.43
2024-12-22 07:00:00,40.84,1023.23,16.94
2024-12-22 08:00:00,40.96,1023.08,16.77
2024-12-22 09:00:00,41.03,1023.24,16.67
2024-12-22 10:00:00,40.93,1022.61,16.67
2024-12-22 11:00:00,40.91,1021.46,16.78
2024-12-22 12:00:00,40.97,1019.71,16.87
2024-12-22 13:00:00,41.12,1018.2,16.96
2024-12-22 14:00:00,41.41,1017.36,17.15
2024-12-22 15:00:00,41.59,1016.43,17.24
2024-12-22 16:00:00,41.8,1015.87,17.26
2024-12-22 17:00:00,41.8,1015.71,17.21
2024-12-22 18:00:00,41.16,1016.09,17.25
